time,voltage
-0.010000046,205.108
-0.0099998456,207.107
-0.0099996456,205.908
-0.0099994456,203.909
-0.0099992456,204.308
-0.0099990456,204.708
-0.0099988456,205.108
-0.0099986456,207.107
-0.0099984456,204.308
-0.0099982456,203.509
-0.0099980456,204.308
-0.0099978456,204.708
-0.0099976456,204.308
-0.0099974456,204.308
-0.0099972456,203.909
-0.0099970456,204.708
-0.0099968456,204.708
-0.0099966456,204.308
-0.0099964456,205.508
-0.0099962456,204.308
-0.0099960456,203.109
-0.0099958456,201.91
-0.0099956456,203.509
-0.0099954456,205.108
-0.0099952456,203.909
-0.0099950456,203.109
-0.0099948456,205.508
-0.0099946456,201.91
-0.0099944456,204.308
-0.0099942456,204.708
-0.0099940456,205.908
-0.0099938456,203.109
-0.0099936456,202.709
-0.0099934456,203.909
-0.0099932456,205.108
-0.0099930456,204.308
-0.0099928456,203.509
-0.0099926456,204.708
-0.0099924456,203.509
-0.0099922456,203.509
-0.0099920456,204.308
-0.0099918456,202.309
-0.0099916456,205.908
-0.0099914456,202.309
-0.0099912456,204.308
-0.0099910456,203.109
-0.0099908456,202.309
-0.0099906456,203.909
-0.0099904456,202.309
-0.0099902456,202.709
-0.0099900456,203.909
-0.0099898456,201.51
-0.0099896456,202.709
-0.0099894456,199.111
-0.0099892456,203.109
-0.0099890456,204.308
-0.0099888456,205.108
-0.0099886456,204.308
-0.0099884456,203.909
-0.0099882456,202.709
-0.0099880456,204.708
-0.0099878456,201.51
-0.0099876456,201.11
-0.0099874456,202.309
-0.0099872456,203.509
-0.0099870456,201.11
-0.0099868456,200.31
-0.0099866456,202.309
-0.0099864456,200.71
-0.0099862456,203.509
-0.0099860456,202.709
-0.0099858456,201.11
-0.0099856456,201.91
-0.0099854456,201.91
-0.0099852456,201.51
-0.0099850456,200.31
-0.0099848456,201.91
-0.0099846456,198.711
-0.0099844456,200.31
-0.0099842456,203.109
-0.0099840456,202.309
-0.0099838456,199.511
-0.0099836456,200.71
-0.0099834456,199.511
-0.0099832456,199.111
-0.0099830456,202.309
-0.0099828456,201.51
-0.0099826456,199.511
-0.0099824456,200.71
-0.0099822456,199.91
-0.0099820456,201.11
-0.0099818456,198.311
-0.0099816456,200.31
-0.0099814456,201.11
-0.0099812456,200.71
-0.0099810456,202.309
-0.0099808456,200.31
-0.0099806456,200.71
-0.0099804456,194.713
-0.0099802456,201.91
-0.0099800456,199.511
-0.0099798456,196.712
-0.0099796456,199.111
-0.0099794456,200.71
-0.0099792456,199.511
-0.0099790456,199.111
-0.0099788456,199.111
-0.0099786456,198.311
-0.0099784456,200.31
-0.0099782456,200.71
-0.0099780456,199.111
-0.0099778456,195.113
-0.0099776456,200.31
-0.0099774456,199.511
-0.0099772456,199.91
-0.0099770456,197.512
-0.0099768456,198.711
-0.0099766456,198.311
-0.0099764456,202.309
-0.0099762456,198.711
-0.0099760456,199.511
-0.0099758456,199.91
-0.0099756456,197.911
-0.0099754456,197.512
-0.0099752456,198.711
-0.0099750456,195.113
-0.0099748456,199.511
-0.0099746456,198.711
-0.0099744456,200.71
-0.0099742456,199.511
-0.0099740456,199.111
-0.0099738456,198.311
-0.0099736456,199.511
-0.0099734456,196.712
-0.0099732456,198.311
-0.0099730456,199.91
-0.0099728456,199.511
-0.0099726456,200.31
-0.0099724456,199.111
-0.0099722456,198.711
-0.0099720456,197.512
-0.0099718456,200.71
-0.0099716456,198.711
-0.0099714456,197.512
-0.0099712456,199.111
-0.0099710456,195.912
-0.0099708456,196.712
-0.0099706456,198.311
-0.0099704456,196.312
-0.0099702456,198.711
-0.0099700456,197.911
-0.0099698456,198.311
-0.0099696456,195.912
-0.0099694456,197.512
-0.0099692456,199.91
-0.0099690456,199.111
-0.0099688456,195.912
-0.0099686456,196.312
-0.0099684456,196.312
-0.0099682456,196.712
-0.0099680456,192.714
-0.0099678456,198.711
-0.0099676456,195.113
-0.0099674456,195.912
-0.0099672456,195.113
-0.0099670456,195.912
-0.0099668456,197.512
-0.0099666456,196.312
-0.0099664456,195.512
-0.0099662456,197.512
-0.0099660456,197.112
-0.0099658456,196.312
-0.0099656456,197.911
-0.0099654456,197.512
-0.0099652456,196.712
-0.0099650456,195.912
-0.0099648456,195.912
-0.0099646456,197.112
-0.0099644456,196.312
-0.0099642456,194.313
-0.0099640456,196.312
-0.0099638456,194.713
-0.0099636456,196.712
-0.0099634456,194.713
-0.0099632456,196.312
-0.0099630456,197.911
-0.0099628456,194.713
-0.0099626456,196.312
-0.0099624456,195.912
-0.0099622456,195.113
-0.0099620456,197.112
-0.0099618456,194.313
-0.0099616456,196.312
-0.0099614456,197.112
-0.0099612456,198.311
-0.0099610456,197.112
-0.0099608456,196.712
-0.0099606456,195.512
-0.0099604456,194.713
-0.0099602456,194.313
-0.0099600456,195.912
-0.0099598456,193.913
-0.0099596456,194.713
-0.0099594456,195.113
-0.0099592456,193.513
-0.0099590456,195.113
-0.0099588456,197.112
-0.0099586456,196.712
-0.0099584456,195.912
-0.0099582456,194.313
-0.0099580456,193.513
-0.0099578456,195.113
-0.0099576456,195.912
-0.0099574456,195.912
-0.0099572456,197.112
-0.0099570456,196.712
-0.0099568456,193.913
-0.0099566456,194.313
-0.0099564456,192.714
-0.0099562456,193.513
-0.0099560456,194.713
-0.0099558456,193.913
-0.0099556456,193.513
-0.0099554456,191.914
-0.0099552456,193.513
-0.0099550456,194.313
-0.0099548456,194.713
-0.0099546456,195.113
-0.0099544456,193.913
-0.0099542456,193.113
-0.0099540456,196.312
-0.0099538456,193.913
-0.0099536456,193.513
-0.0099534456,195.512
-0.0099532456,189.915
-0.0099530456,192.314
-0.0099528456,191.914
-0.0099526456,193.113
-0.0099524456,193.913
-0.0099522456,190.315
-0.0099520456,194.713
-0.0099518456,193.513
-0.0099516456,192.314
-0.0099514456,190.315
-0.0099512456,191.114
-0.0099510456,192.714
-0.0099508456,194.713
-0.0099506456,193.913
-0.0099504456,195.113
-0.0099502456,191.914
-0.0099500456,191.514
-0.0099498456,192.314
-0.0099496456,193.513
-0.0099494456,192.314
-0.0099492456,190.715
-0.0099490456,191.514
-0.0099488456,194.713
-0.0099486456,194.313
-0.0099484456,193.913
-0.0099482456,193.113
-0.0099480456,193.513
-0.0099478456,195.113
-0.0099476456,193.513
-0.0099474456,191.514
-0.0099472456,192.714
-0.0099470456,191.914
-0.0099468456,190.315
-0.0099466456,191.514
-0.0099464456,193.113
-0.0099462456,193.113
-0.0099460456,189.915
-0.0099458456,191.514
-0.0099456456,193.113
-0.0099454456,192.714
-0.0099452456,192.714
-0.0099450456,189.915
-0.0099448456,191.514
-0.0099446456,190.315
-0.0099444456,191.514
-0.0099442456,189.915
-0.0099440456,189.915
-0.0099438456,193.113
-0.0099436456,189.915
-0.0099434456,193.913
-0.0099432456,191.514
-0.0099430456,193.513
-0.0099428456,189.915
-0.0099426456,193.113
-0.0099424456,192.714
-0.0099422456,191.514
-0.0099420456,189.915
-0.0099418456,188.316
-0.0099416456,191.114
-0.0099414456,191.114
-0.0099412456,188.316
-0.0099410456,191.914
-0.0099408456,188.715
-0.0099406456,192.714
-0.0099404456,193.113
-0.0099402456,188.316
-0.0099400456,189.915
-0.0099398456,189.115
-0.0099396456,190.715
-0.0099394456,190.715
-0.0099392456,191.514
-0.0099390456,189.115
-0.0099388456,189.515
-0.0099386456,189.515
-0.0099384456,189.915
-0.0099382456,188.316
-0.0099380456,189.115
-0.0099378456,191.114
-0.0099376456,192.314
-0.0099374456,190.315
-0.0099372456,189.915
-0.0099370456,190.315
-0.0099368456,189.515
-0.0099366456,189.115
-0.0099364456,190.315
-0.0099362456,193.913
-0.0099360456,191.914
-0.0099358456,189.515
-0.0099356456,190.315
-0.0099354456,191.514
-0.0099352456,193.913
-0.0099350456,192.314
-0.0099348456,192.314
-0.0099346456,190.715
-0.0099344456,189.515
-0.0099342456,190.715
-0.0099340456,190.315
-0.0099338456,189.915
-0.0099336456,189.915
-0.0099334456,191.114
-0.0099332456,190.315
-0.0099330456,188.715
-0.0099328456,193.513
-0.0099326456,191.114
-0.0099324456,189.515
-0.0099322456,190.315
-0.0099320456,190.315
-0.0099318456,188.316
-0.0099316456,189.515
-0.0099314456,189.915
-0.0099312456,190.715
-0.0099310456,189.915
-0.0099308456,190.715
-0.0099306456,189.515
-0.0099304456,189.115
-0.0099302456,189.915
-0.0099300456,192.714
-0.0099298456,188.316
-0.0099296456,189.115
-0.0099294456,188.316
-0.0099292456,188.715
-0.0099290456,189.115
-0.0099288456,188.316
-0.0099286456,187.116
-0.0099284456,189.515
-0.0099282456,187.916
-0.0099280456,189.915
-0.0099278456,188.316
-0.0099276456,189.915
-0.0099274456,187.916
-0.0099272456,187.916
-0.0099270456,189.915
-0.0099268456,190.715
-0.0099266456,190.315
-0.0099264456,188.316
-0.0099262456,188.316
-0.0099260456,190.315
-0.0099258456,188.715
-0.0099256456,190.315
-0.0099254456,189.115
-0.0099252456,189.515
-0.0099250456,188.715
-0.0099248456,185.917
-0.0099246456,188.316
-0.0099244456,189.515
-0.0099242456,188.316
-0.0099240456,187.116
-0.0099238456,189.515
-0.0099236456,189.515
-0.0099234456,185.117
-0.0099232456,189.115
-0.0099230456,187.916
-0.0099228456,189.515
-0.0099226456,191.114
-0.0099224456,188.316
-0.0099222456,188.316
-0.0099220456,185.917
-0.0099218456,187.516
-0.0099216456,185.917
-0.0099214456,187.516
-0.0099212456,185.517
-0.0099210456,186.317
-0.0099208456,188.715
-0.0099206456,187.916
-0.0099204456,189.115
-0.0099202456,184.317
-0.0099200456,189.115
-0.0099198456,186.716
-0.0099196456,187.916
-0.0099194456,185.517
-0.0099192456,187.916
-0.0099190456,189.515
-0.0099188456,189.515
-0.0099186456,188.715
-0.0099184456,185.917
-0.0099182456,189.515
-0.0099180456,187.916
-0.0099178456,185.117
-0.0099176456,186.716
-0.0099174456,189.115
-0.0099172456,186.317
-0.0099170456,187.116
-0.0099168456,183.918
-0.0099166456,188.316
-0.0099164456,185.917
-0.0099162456,186.716
-0.0099160456,185.117
-0.0099158456,188.316
-0.0099156456,185.517
-0.0099154456,187.516
-0.0099152456,187.516
-0.0099150456,187.116
-0.0099148456,185.117
-0.0099146456,187.516
-0.0099144456,186.716
-0.0099142456,185.117
-0.0099140456,185.117
-0.0099138456,185.517
-0.0099136456,187.116
-0.0099134456,186.317
-0.0099132456,186.716
-0.0099130456,185.917
-0.0099128456,186.716
-0.0099126456,187.516
-0.0099124456,185.917
-0.0099122456,185.117
-0.0099120456,185.517
-0.0099118456,184.317
-0.0099116456,185.917
-0.0099114456,184.717
-0.0099112456,187.116
-0.0099110456,184.717
-0.0099108456,183.918
-0.0099106456,186.317
-0.0099104456,183.518
-0.0099102456,186.716
-0.0099100456,183.118
-0.0099098456,185.917
-0.0099096456,186.716
-0.0099094456,186.716
-0.0099092456,184.717
-0.0099090456,184.717
-0.0099088456,185.517
-0.0099086456,184.317
-0.0099084456,185.117
-0.0099082456,185.917
-0.0099080456,186.716
-0.0099078456,184.317
-0.0099076456,186.317
-0.0099074456,182.718
-0.0099072456,182.718
-0.0099070456,185.917
-0.0099068456,185.117
-0.0099066456,185.117
-0.0099064456,182.718
-0.0099062456,183.918
-0.0099060456,187.516
-0.0099058456,182.718
-0.0099056456,183.518
-0.0099054456,183.118
-0.0099052456,181.119
-0.0099050456,183.518
-0.0099048456,182.318
-0.0099046456,186.317
-0.0099044456,183.118
-0.0099042456,183.518
-0.0099040456,183.518
-0.0099038456,185.117
-0.0099036456,181.119
-0.0099034456,185.117
-0.0099032456,183.118
-0.0099030456,185.117
-0.0099028456,183.118
-0.0099026456,182.718
-0.0099024456,182.318
-0.0099022456,183.918
-0.0099020456,181.919
-0.0099018456,184.317
-0.0099016456,183.918
-0.0099014456,181.919
-0.0099012456,183.118
-0.0099010456,184.717
-0.0099008456,183.118
-0.0099006456,183.118
-0.0099004456,181.519
-0.0099002456,180.319
-0.0099000456,181.919
-0.0098998456,181.519
-0.0098996456,183.118
-0.0098994456,181.119
-0.0098992456,182.318
-0.0098990456,182.318
-0.0098988456,177.92
-0.0098986456,179.52
-0.0098984456,181.519
-0.0098982456,183.918
-0.0098980456,181.519
-0.0098978456,181.119
-0.0098976456,182.318
-0.0098974456,180.319
-0.0098972456,182.718
-0.0098970456,181.119
-0.0098968456,181.119
-0.0098966456,181.519
-0.0098964456,182.318
-0.0098962456,179.52
-0.0098960456,179.52
-0.0098958456,178.32
-0.0098956456,178.32
-0.0098954456,179.52
-0.0098952456,180.319
-0.0098950456,179.12
-0.0098948456,180.319
-0.0098946456,180.719
-0.0098944456,177.92
-0.0098942456,177.92
-0.0098940456,179.52
-0.0098938456,180.319
-0.0098936456,179.12
-0.0098934456,181.119
-0.0098932456,181.919
-0.0098930456,179.12
-0.0098928456,180.319
-0.0098926456,179.12
-0.0098924456,178.72
-0.0098922456,179.52
-0.0098920456,177.92
-0.0098918456,179.52
-0.0098916456,176.321
-0.0098914456,179.919
-0.0098912456,178.32
-0.0098910456,179.52
-0.0098908456,179.12
-0.0098906456,176.321
-0.0098904456,176.721
-0.0098902456,177.52
-0.0098900456,178.72
-0.0098898456,177.121
-0.0098896456,178.32
-0.0098894456,178.72
-0.0098892456,180.719
-0.0098890456,179.12
-0.0098888456,175.521
-0.0098886456,179.52
-0.0098884456,180.719
-0.0098882456,179.52
-0.0098880456,177.92
-0.0098878456,178.72
-0.0098876456,178.72
-0.0098874456,179.919
-0.0098872456,176.321
-0.0098870456,178.32
-0.0098868456,178.32
-0.0098866456,176.721
-0.0098864456,178.72
-0.0098862456,179.12
-0.0098860456,177.121
-0.0098858456,178.72
-0.0098856456,179.12
-0.0098854456,178.72
-0.0098852456,179.12
-0.0098850456,176.721
-0.0098848456,176.721
-0.0098846456,176.721
-0.0098844456,177.121
-0.0098842456,174.722
-0.0098840456,176.321
-0.0098838456,175.921
-0.0098836456,173.122
-0.0098834456,177.52
-0.0098832456,178.32
-0.0098830456,176.321
-0.0098828456,174.722
-0.0098826456,178.32
-0.0098824456,175.122
-0.0098822456,175.921
-0.0098820456,175.122
-0.0098818456,174.722
-0.0098816456,174.322
-0.0098814456,177.121
-0.0098812456,176.721
-0.0098810456,176.721
-0.0098808456,176.321
-0.0098806456,175.921
-0.0098804456,175.122
-0.0098802456,176.721
-0.0098800456,178.32
-0.0098798456,177.92
-0.0098796456,175.122
-0.0098794456,175.122
-0.0098792456,175.521
