time,Pa [W],Pb [W],Pc [W],Q [VAr],Qa [VAr],Qb [VAr],Qc [VAr],S [VA],Sa[VA],Sb [VA],Sc [VA],In [A],Van min [V],Vbn min [V],Vcn min [V],Uab min [V],Ubc min [V],Uca min [V],Van avg [V],Vbn avg [V],Vcn avg [V],Uab avg [V],Ubc avg [V],Uca avg [V],Van max [V],Vbn max [V],Vcn max [V],Uab max [V],Ubc max [V],Uca max [V],Ia min [A],Ib min [A],Ic min [A],Ia avg [A],Ib avg [A],Ic avg [A],Ia max [A],Ib max [A],Ic max [A],Freq min [Hz],Freq max [Hz],Freq avg [Hz]
2021-02-25 10:40:00,116402.1,113080.2,111640.7,80015.29,26602.84,21939.33,31473.12,350381.7,119403.4,115188.8,115992.2,60.74,223.23,224.14,225.33,386.75,389.99,388.42,223.79,224.66,225.73,387.76,390.73,389.23,224.09,224.98,226.03,388.28,391.29,389.73,461.17,448.22,447.1,508.78,489.94,491.78,559.25,539.3,541.82,59.94,60.04,59.99
2021-02-25 10:50:00,115243.9,112787.5,112819.5,84382.72,28540.09,22870.08,32972.55,351140.6,118725.2,115082.8,117539.0,54.7,222.86,223.72,224.92,386.11,389.25,387.71,223.53,224.34,225.53,387.23,390.29,388.84,223.91,224.73,225.88,387.93,390.95,389.46,475.43,476.26,476.73,515.02,503.25,505.65,601.14,572.89,589.86,59.97,60.06,60.01
2021-02-25 11:00:00,107488.1,104895.6,104044.9,61993.48,20921.39,16017.43,25054.65,322444.2,109505.2,106111.5,107019.0,54.59,222.4,223.21,224.4,385.27,388.32,386.89,223.11,223.89,225.1,386.48,389.51,388.12,223.56,224.31,225.51,387.24,390.23,388.87,483.67,467.45,469.49,517.54,502.94,507.06,570.63,561.08,563.51,59.95,60.07,60.0
2021-02-25 11:10:00,96133.59,94136.12,94015.2,38188.75,13360.57,8543.58,16284.6,286838.4,97057.57,94523.02,95415.12,43.24,222.22,222.7,224.26,384.65,387.84,386.58,224.61,225.27,226.58,388.9,391.95,390.8,225.32,226.02,227.35,390.17,393.27,392.13,381.19,369.86,368.29,434.99,420.16,417.43,805.47,767.06,788.03,59.92,60.06,60.01
2021-02-25 11:20:00,88408.2,89422.68,87916.84,28188.01,9130.74,6028.37,13028.89,267238.5,88878.46,89625.65,88877.02,32.82,224.43,224.87,226.23,388.44,391.2,390.39,224.96,225.57,226.82,389.48,392.4,391.33,225.42,225.85,227.24,390.12,392.98,392.15,367.69,352.24,364.9,401.78,389.93,393.17,466.99,459.9,457.6,59.96,60.07,60.01
2021-02-25 11:30:00,94526.87,91728.41,90467.82,40311.44,13643.11,9284.44,17383.88,279643.8,95506.35,92197.08,92122.88,50.12,224.42,224.98,226.3,388.53,391.38,390.36,224.83,225.37,226.68,389.21,392.05,391.12,225.19,225.64,227.04,389.73,392.58,391.75,365.02,370.52,358.81,401.51,398.64,389.71,454.08,447.35,457.79,59.96,60.05,60.01
2021-02-25 11:40:00,85834.41,87440.37,87254.98,36630.91,12121.39,7735.33,16774.18,263092.3,86686.07,87781.85,88852.72,33.49,223.89,224.64,225.92,387.75,390.85,389.67,224.72,225.25,226.58,389.01,391.88,390.92,225.21,225.83,227.08,389.95,392.82,391.77,357.02,356.95,366.45,402.36,398.57,391.67,456.71,445.04,436.3,59.94,60.08,60.01
2021-02-25 11:50:00,78040.81,77186.45,76387.9,44800.3,15854.91,10517.56,18427.83,235908.1,79635.09,77899.72,78579.23,39.98,223.85,224.55,225.98,387.59,390.82,389.72,224.5,225.21,226.53,388.75,391.89,390.67,224.78,225.48,226.79,389.29,392.34,391.12,336.71,334.82,321.01,390.33,384.11,370.12,449.24,437.94,427.98,59.95,60.05,60.01
2021-02-25 12:00:00,76246.9,75421.01,69569.38,44575.07,15266.88,12091.28,17216.91,225683.1,77760.32,76384.08,71668.13,47.16,224.36,224.96,226.24,388.46,391.37,390.31,224.91,225.62,226.81,389.46,392.48,391.24,225.35,226.07,227.26,390.2,393.19,392.05,327.38,312.73,313.1,352.62,340.33,335.73,401.42,382.59,383.92,59.95,60.07,60.01
2021-02-25 12:10:00,76319.4,73208.73,72896.34,42438.11,14722.09,10125.51,17590.51,226436.8,77726.38,73905.64,74988.69,45.6,223.95,224.69,225.92,387.77,390.93,389.68,224.87,225.53,226.76,389.36,392.35,391.17,225.73,226.31,227.55,390.84,393.65,392.56,307.44,310.35,290.81,339.06,337.79,327.27,392.75,379.36,377.19,59.91,60.06,60.0
2021-02-25 12:20:00,70943.64,72095.2,75231.89,44367.4,14242.17,10557.43,19567.8,222734.3,72359.1,72864.09,77735.04,27.09,224.13,224.72,226.06,387.99,391.03,389.91,224.6,225.23,226.49,388.82,391.91,390.71,225.02,225.57,226.91,389.47,392.51,391.4,309.78,296.35,303.21,342.04,335.29,340.93,391.57,388.62,396.45,59.95,60.04,60.0
2021-02-25 12:30:00,75523.75,76222.67,80082.31,56510.45,19915.7,13564.49,23030.26,238616.8,78105.52,77420.23,83328.09,28.31,220.2,220.93,222.13,381.32,384.23,383.07,223.48,224.22,225.42,387.0,390.16,388.72,225.87,226.71,227.83,391.24,394.41,392.86,306.03,309.94,322.91,352.78,350.47,364.17,410.86,427.28,430.8,59.97,60.09,60.02
2021-02-25 12:40:00,111317.3,115534.7,112922.4,90899.72,29578.98,24483.39,36837.35,351723.5,115180.1,118100.4,118779.0,42.67,222.5,223.18,224.54,385.31,388.49,387.11,222.85,223.54,224.83,385.89,389.03,387.67,223.11,223.92,225.11,386.48,389.57,388.14,350.72,345.93,370.47,437.89,438.16,451.47,542.77,555.05,558.13,59.95,60.06,60.01
2021-02-25 12:50:00,109082.8,110404.4,107805.5,83393.4,27349.69,22863.32,33180.39,337749.8,112459.1,112746.9,112796.1,47.21,222.16,222.85,224.39,384.61,388.16,386.66,222.93,223.7,225.07,386.07,389.42,387.93,223.21,224.11,225.39,386.67,390.07,388.44,457.53,453.5,459.21,493.74,492.24,497.87,631.62,607.42,630.74,59.96,60.07,60.02
2021-02-25 13:00:00,97042.83,98061.2,99118.17,68672.22,22503.46,17860.21,28308.54,302130.1,99617.85,99674.4,103081.4,40.28,222.31,223.21,224.39,385.21,388.46,386.69,223.02,223.83,225.03,386.33,389.47,387.92,223.3,224.15,225.35,386.83,390.1,388.37,444.81,442.57,454.69,481.27,481.28,485.58,595.17,593.2,602.89,59.93,60.05,59.99
2021-02-25 13:10:00,100615.4,101727.0,100777.6,64371.86,20669.52,17050.36,26651.98,309879.8,102716.5,103146.0,104242.3,41.1,222.95,223.79,224.98,386.22,389.43,387.86,223.35,224.11,225.37,386.86,389.97,388.54,223.63,224.42,225.69,387.32,390.51,389.07,438.12,436.27,433.66,468.46,471.65,465.9,517.18,522.1,538.16,59.97,60.05,60.01
2021-02-25 13:20:00,108649.8,111587.7,105545.2,64857.69,20087.69,17631.59,27138.4,332176.0,110491.2,112972.1,108978.3,47.56,222.72,223.51,224.83,385.76,389.04,387.51,223.61,224.33,225.59,387.29,390.33,388.96,224.02,224.73,225.94,388.02,390.94,389.67,429.38,432.66,423.65,467.45,474.71,465.2,527.51,528.74,528.49,59.95,60.05,60.0
